Experiment	Lead-Time	Skill	ID	Policy	Rule Curve Wet Multiplier	Rule Curve Confident Wet Multiplier	Rule Curve Dry Multiplier	Rule Curve Wet Power	Rule Curve Dry Power	Rule Curve Threshold	Rule Curve Wet Adjustment	Rule Curve Dry Adjustment	Rule Curve Low Level Threshold	Rule Curve Low Level Flow Adjustment	Long Forecast Wet Threshold	Long Forecast Dry Threshold	Long Forecast 50% Confidence Interval	Long Forecast 99% Confidence Interval	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Recreational Boating: Impact Costs ($)
1-month Status Quo (LM)	1-month	Status Quo (LM)	0	1	127.5380143512398	65.42890917866221	100.13222196620804	1.0174087399249916	1.6314464045277866	5343.933795544913	2659.7859894234907	1024.9425490121594	74.85694256250682	34.74861322820196	8572.652367408251	8912.721710668124	63.167654891886656	264.94954030674404	45668.36660504202	2802.7478991596636	192264415.8487395	-2238145492.831376	-11049.864317857142	26823517.03915967
1-month Status Quo (LM)	1-month	Status Quo (LM)	1	1	127.01174455050726	65.03082312871972	100.13222196620804	0.2631487909290252	1.633886488126916	5347.77652877626	1241.3165413641166	1024.9425490121594	74.90434004807967	34.70386048101068	8554.498482000627	9023.245924032597	66.8979028155077	264.94954030674404	35204.73526890756	2691.4705882352937	193215159.7983193	-2232107548.692631	-10544.90712142857	38460139.8315126
1-month Status Quo (LM)	1-month	Status Quo (LM)	2	1	163.41434944081766	68.57493991833822	22.368081275192548	0.28427294724924745	1.3468814178096569	4789.48317347831	2658.546688553231	1958.1758227423288	74.75136693289242	34.99553221522625	8117.698207364896	5670.612499105177	12.932897774341741	175.19038881855442	35366.885428571426	2613.81512605042	194447754.62184876	-2231289926.7093077	-10675.017224999998	41197844.62554622
1-month Status Quo (LM)	1-month	Status Quo (LM)	3	1	60.27693627258144	69.13005081086733	91.95378540944164	0.7133519985810305	0.7831729681895834	5806.605291431914	1241.3810837092446	901.8258764290961	74.90294677613592	34.61588084537279	7611.964159600776	10681.722662351902	86.35958350469816	93.6233734077166	52924.38744537813	2881.6302521008397	191419611.4789916	-2241130657.2438493	-10551.718157142857	22365591.82252101
1-month Status Quo (LM)	1-month	Status Quo (LM)	4	1	56.285258463194964	90.01930429820547	25.80831201067388	1.5292577147253024	1.3768465944828951	5736.191606489418	1254.0740882560326	2081.10559402732	74.87482011781053	34.85426791657862	8660.274582829426	8683.798574733462	87.38666240317824	256.647063614048	48907.93476470588	2956.689075630253	192891400.8151261	-2239078181.2165127	-10771.021189285711	24074754.92672269
1-month Status Quo (LM)	1-month	Status Quo (LM)	5	1	141.6048540232457	65.66438394922216	27.702979654954532	0.25642178282508765	1.5814641077063718	5828.924622683512	1968.7629336734574	1037.9305950382636	74.91360322722615	34.832014026665505	8149.570851910263	9036.826399523785	53.28402312931402	89.21332530636347	40798.96445378151	2614.252100840336	192627907.22689077	-2234938343.4459653	-11131.934753571428	34563720.99369748
1-month Status Quo (LM)	1-month	Status Quo (LM)	6	1	58.24792744545633	122.21583436195165	18.070359765275064	0.82285087261989	1.6975203226991122	6374.2424288738575	2302.8790864584257	586.1457430578513	74.90181713972477	34.612132827696016	7746.817729105529	9098.415190628737	16.522543661598743	71.91065740125333	66269.95636134455	3011.7478991596636	191432642.53781512	-2244587957.80191	-9972.247635714286	17777642.678319328
1-month Status Quo (LM)	1-month	Status Quo (LM)	7	1	109.49013886010492	65.24201227551606	102.58150922286735	0.7892649729909609	0.5577852990144111	4620.532403524897	2678.351892776925	2237.185318108514	74.82902205895562	34.90864759682842	8582.371021994386	8011.6047265566285	12.820440355384335	168.46939351474853	40645.56134453782	2738.714285714286	192123278.82352945	-2236103121.1516128	-10652.146096428569	31038264.145126056
1-month Status Quo (LM)	1-month	Status Quo (LM)	8	1	141.96064958057624	65.42358775452821	33.81322286032128	0.5488970105849409	1.7099581250124094	6466.561545107863	2658.69627823869	2003.618065097997	75.03993942155893	34.994172903592045	8376.449162696299	5361.585303362072	80.91477426210254	326.68886468750264	60969.067714285724	2784.344537815126	191310294.11764705	-2242744284.6883187	-11840.591789285712	21938710.09033613
1-month Status Quo (LM)	1-month	Status Quo (LM)	9	1	114.59796658170653	69.63405161778488	64.8485556012976	0.3048377274881591	0.7999906292068749	5343.912850553297	2520.4384169187188	879.9792162311438	74.84871271610747	34.934658747068475	8441.982893826189	6034.30258679861	37.8297068404225	260.1353728444576	42893.7995210084	2684.705882352941	191763046.9159664	-2236715137.982477	-11339.330946428568	30591141.100252107
1-month Status Quo (LM)	1-month	Status Quo (LM)	10	1	90.9754084863247	87.34316189485702	100.35716980433695	0.29306141849893885	1.596098142859146	5188.972897499923	2577.7101204179185	1126.0756125832381	74.91038394380463	34.72759276818476	8406.45541816253	5496.913508285087	15.320490830354045	130.10482881031263	48950.295949579835	2740.0672268907565	191112392.10084036	-2239478721.904491	-10717.975310714286	26246513.090672273
1-month Status Quo (LM)	1-month	Status Quo (LM)	11	1	141.9610563995064	65.36204028033349	96.41452541039864	0.2630522538292544	1.5962447857608983	4886.409177896157	2683.843980608265	960.1139019236647	74.91076575400925	34.51025106870228	8150.074295900431	5313.161836748519	13.106409820467393	81.57484639220627	39433.08331092437	2603.462184873949	192837136.19327733	-2233798157.0236297	-11290.813953571429	36822223.54932775
1-month Status Quo (LM)	1-month	Status Quo (LM)	12	1	141.9610563995064	68.57493991833822	101.72328413247415	0.2263547758958851	0.9171332684434828	4789.48317347831	2659.020407705629	980.6728768322567	74.8556426986414	34.99553221522625	8152.573342471684	5363.6569746971145	13.106409820467393	157.3199888094353	38041.845243697484	2614.151260504201	193039412.34453785	-2233146984.7480173	-10871.203678571428	37676921.450504206
1-month Status Quo (LM)	1-month	Status Quo (LM)	13	1	128.59376921968996	65.51327787361782	17.464215644936747	0.2696014968281281	1.6464807404095396	6483.911685007955	1905.4582630316306	1017.8528095778868	74.76227386489654	34.43290124985424	8707.642997098279	5952.35545527516	83.53963024325492	87.83938786024805	45959.25839495798	2740.168067226891	192000142.4117647	-2237658965.8077803	-11335.870807142857	28316443.17504201
1-month Status Quo (LM)	1-month	Status Quo (LM)	14	1	60.933969489021216	121.59010681066164	26.262679752619906	0.225143143649369	0.8670281796691055	4741.688550496237	2047.519715750972	1422.2130726509217	74.82996228849767	33.992443338538024	7632.202630325212	8914.029509777103	13.777322305244873	325.765652999566	48809.21760504201	2892.0420168067226	192031432.55462185	-2239459048.136216	-10306.60475714286	23736469.16109244
1-month Status Quo (LM)	1-month	Status Quo (LM)	15	1	115.7363467041922	67.7612938793321	17.24391147675884	0.3843720202810774	1.6467322340227506	6373.484897100993	2511.687088538126	1023.6080288287566	74.87312932511841	34.00023811584988	8705.347718478852	6809.80571855298	62.85057124278141	87.17937724332106	54151.77270588235	2761.1764705882347	191199898.15966383	-2240978278.001132	-11386.424575	23777279.286050417
1-month Status Quo (LM)	1-month	Status Quo (LM)	16	1	97.38416883530323	65.0	44.01729851730829	0.4586619485033814	0.8847765947677501	5582.943662914946	2607.374481357649	664.9839128129147	74.8764349691419	34.74883320328855	8577.416193217385	8657.190200938197	52.43742537201882	84.10634847476246	51611.75485714285	2718.6890756302523	191123764.69747895	-2240454050.440195	-11439.49084642857	24934472.70831933
1-month Status Quo (LM)	1-month	Status Quo (LM)	17	1	141.9610563995064	65.2016226751596	95.94211432590937	0.2266156516941673	0.9452755814872856	6503.186601311704	2687.4374606761626	2001.3309641565934	87.22845082557748	34.959251886272334	8152.573342471684	5674.748421843023	14.78567580116909	78.64274693173775	69886.9004537815	2727.8991596638652	191274985.50420168	-2240325836.1863346	-11911.890221428574	27844485.382857144
1-month Status Quo (LM)	1-month	Status Quo (LM)	18	1	126.03447285105787	65.59329992297475	51.43028001446911	0.24372907243935474	0.9167855921405555	6452.686427968247	2622.264595779	1141.9871335833059	74.87781756906232	34.74861322820196	8575.68365314644	8656.875940072634	13.916225775468568	206.87688465079955	51516.90030252102	2739.605042016807	191716824.47058824	-2239553578.7182684	-11980.553707142857	25943745.25621849
1-month Status Quo (LM)	1-month	Status Quo (LM)	19	1	114.72190881113049	69.16436802234006	30.202922556380692	0.8694339438890479	1.70222576682102	4378.490396174504	2638.718704332662	894.0910693370457	74.76548776218722	34.590042135733725	8698.05208437953	6236.075210910395	36.49822230792087	90.79970124409095	35358.5397394958	2754.1176470588234	192954094.3697479	-2233472191.369508	-10051.748021428572	35016661.97478991
1-month Status Quo (LM)	1-month	Status Quo (LM)	20	1	83.86126148700205	67.08562183867922	70.549981106264	0.3322927435174687	1.5628199262670892	5667.521481200493	2141.383044767836	904.6531103236647	74.85863624150237	34.961454077855436	9491.182236158667	5145.718559997339	30.932187138113733	86.99198579407938	51277.857563025216	2757.7478991596636	190941184.3277311	-2240430120.606872	-10720.563121428571	24521308.296050426
1-month Status Quo (LM)	1-month	Status Quo (LM)	21	1	159.1445370985639	65.9930656559431	27.711528620894192	0.4034806892059407	0.9688733168591208	6455.72066058191	2490.9534757235792	1345.1727169148648	74.94239452751481	34.729471070173005	8696.976895345462	5400.881229366374	14.785893344046354	141.9016832104009	48948.397445378156	2780.7899159663866	192184914.7563025	-2238713489.16317	-11954.008625	26448320.04739496
1-month Status Quo (LM)	1-month	Status Quo (LM)	22	1	96.45583749011887	85.40543541157088	23.385751027167416	0.8862987799648256	0.32942754092071325	4392.171940185462	2021.348329837878	498.4092562496483	107.28499132270878	27.719475009529003	7746.817729105529	7840.570363210659	76.41060508201745	73.25096457859057	35319.622773109244	2798.90756302521	192256856.19327733	-2232720813.4483943	-9205.382414285714	37287621.98747899
1-month Status Quo (LM)	1-month	Status Quo (LM)	23	1	159.74161798913195	69.25721032135628	16.201293890593973	0.7092668581200283	1.2818623929644424	6336.472567067164	2281.086559009958	915.2488788819452	74.90294677613592	33.560001692750895	8658.938422345653	8253.270853836235	18.911844495699576	99.93330635936537	51129.07447899161	2823.731092436975	192245546.06722692	-2239737736.5947824	-11757.460264285713	24574039.51260504
1-month Status Quo (LM)	1-month	Status Quo (LM)	24	1	115.67559484013971	75.94143744269938	24.72066448843525	0.2719462026369167	1.7470643733999414	5300.617461249425	2148.9970672846293	966.3313088056536	74.76548776218722	34.48913109597809	10166.270584359829	4513.107471618186	84.18366179538654	87.6808962891542	38082.1322605042	2751.5714285714284	192119948.70588237	-2234766235.4603553	-9906.803625	32968381.148487404
1-month Status Quo (LM)	1-month	Status Quo (LM)	25	1	128.69182645895802	65.36582785540777	17.481007568004525	0.2849337202222153	1.6264373355798603	6483.911685007955	1874.799288581562	1949.9053353642594	74.90957102052305	34.43451514735238	8686.318333599374	5939.898840616517	19.0119100010309	87.84020517902924	48888.884647058825	2739.848739495799	191879811.4789916	-2238828575.792927	-11673.134346428571	26825505.46294117
1-month Status Quo (LM)	1-month	Status Quo (LM)	26	1	123.72600799876189	121.54717429528114	100.46287613562723	0.4586619485033814	0.8374936652450692	5582.943662914946	2628.420806396489	982.1153320550847	74.8764349691419	34.854411921512515	7422.197357069279	8132.426246390824	55.657533948753226	325.8150770641084	42981.96275630252	2792.563025210084	191731026.61344537	-2237393913.4830337	-10037.961964285714	28684294.25
1-month Status Quo (LM)	1-month	Status Quo (LM)	27	1	61.071999720225975	69.25721032135628	91.95378540944164	0.7318010333684577	0.7831729681895834	6372.807611622986	1241.3810837092446	901.8258764290961	74.90294677613592	34.61588084537279	7611.964159600776	10681.722662351902	86.35958350469816	311.2405043554671	60945.64402521009	2905.3025210084033	191070532.70588237	-2243684811.480343	-9932.638039285714	19378315.319663864
1-month Status Quo (LM)	1-month	Status Quo (LM)	28	1	157.16007200280757	66.00270153218423	102.18158208753185	0.37036575869728094	1.2733167299764547	6455.049155228441	2696.75	1348.6636497849047	75.7377281900712	34.99541694123065	8697.602711659545	5404.580453427539	13.066941570431162	232.25354844357517	56920.37495798319	2795.5714285714284	191250254.2773109	-2240105535.8482428	-12120.941628571429	26381352.58512605
1-month Status Quo (LM)	1-month	Status Quo (LM)	29	1	127.5380143512398	65.42890917866221	100.13222196620804	0.2631487909290252	1.6314464045277866	5343.933795544913	2659.7859894234907	1024.9425490121594	74.85694256250682	34.74861322820196	8572.652367408251	8912.721710668124	65.5986352365228	264.94954030674404	39798.00560504202	2684.705882352941	192244170.8319328	-2235123934.4172287	-11202.0477	33115927.50184874
1-month Status Quo (LM)	1-month	Status Quo (LM)	30	1	123.72600799876189	79.41827784043198	102.04164985334236	0.3372295743265794	1.5838085690965795	4682.493369243352	2629.050604002064	975.7688720646547	74.32558142260484	33.61457130744873	9802.473557795698	5427.4237485117	63.80505770870697	75.05471910742466	32634.268344537817	2758.512605042017	193187236.5882353	-2230639096.679062	-8778.938124999999	40724724.10025211
1-month Status Quo (LM)	1-month	Status Quo (LM)	31	1	57.098475012286215	119.99350190502656	26.717718684052304	0.2587572459069114	1.593202614547638	4803.09642381505	2020.5920244113229	1036.0937011920093	74.83481033054561	34.637173682437236	7896.308207197554	5877.315275573704	83.1086557150896	245.73502118541558	51560.326890756296	2908.4873949579833	191961639.89915967	-2240583150.506363	-10034.19772857143	22362220.52672269
