Experiment	Lead-Time	Skill	ID	Policy	Rule Curve Wet Multiplier	Rule Curve Confident Wet Multiplier	Rule Curve Dry Multiplier	Rule Curve Wet Power	Rule Curve Dry Power	Rule Curve Threshold	Rule Curve Wet Adjustment	Rule Curve Dry Adjustment	Rule Curve Low Level Threshold	Rule Curve Low Level Flow Adjustment	Long Forecast Wet Threshold	Long Forecast Dry Threshold	Long Forecast 50% Confidence Interval	Long Forecast 99% Confidence Interval	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Recreational Boating: Impact Costs ($)
3-month Status Quo (LM)	3-month	Status Quo (LM)	0	1	64.62368454828061	94.46843022369566	27.670774191888825	0.9142175626966136	1.5326768588593689	5504.95058087774	1924.0729905603587	1522.1179546938974	74.80086371532752	34.241074417789214	7533.011492605789	10670.632187566673	67.19170544087467	184.52097959986253	50948.85472268908	2907.050420168068	193159444.50420168	-2239703927.02228	-10588.058889285718	22202041.467226893
3-month Status Quo (LM)	3-month	Status Quo (LM)	1	1	65.20542839118379	307.63206252805975	55.84050734521508	0.6751100050233758	1.1440808387792345	4679.606464641796	1506.6634880620375	524.1088793761776	74.61236360547937	32.75798719614695	7088.128318671674	10647.588450431836	50.4617613207691	54.466986218710325	31715.028210084038	2822.168067226891	197714226.6302521	-2229737538.529623	-9881.085810714283	41126562.53655462
3-month Status Quo (LM)	3-month	Status Quo (LM)	2	1	63.374287654174346	95.20563278709473	27.45217755233909	0.8859442218398145	1.47583430434123	5401.122355385758	1940.5438636507972	1386.356142786993	74.82410256050177	32.967678533935825	3471.280505304801	11530.484661931185	65.37287579938773	213.51217925694215	43452.39214285714	2838.142857142857	192889121.92436972	-2237068960.2216725	-10580.40534642857	27113926.02386555
3-month Status Quo (LM)	3-month	Status Quo (LM)	3	1	56.01705074339026	226.0408645506373	21.352235362157227	1.2379042002615248	1.0943576260687935	5476.919600764399	1934.2280031573432	1559.9308710068049	74.82363735237777	33.998712508972275	10688.117822753467	4960.512749538818	78.4908895308725	147.57160072013343	57137.715873949586	2850.8655462184875	191231344.00840336	-2242418446.981151	-10397.707457142857	19877493.550336134
3-month Status Quo (LM)	3-month	Status Quo (LM)	4	1	69.57689113140893	125.035483045345	48.17227498943394	0.5416082503930406	0.3306397354809973	3708.3533121613377	1450.1127216653067	693.3883692630519	74.79633150676203	32.433877392363165	9240.393814037703	9814.36562171857	68.13672669724102	216.8585577099191	37765.57694957984	2759.478991596639	192527560.57142857	-2234513938.0334826	-9909.158307142858	33233157.12932773
3-month Status Quo (LM)	3-month	Status Quo (LM)	5	1	59.727046581482476	128.61879269068504	47.788596844338066	0.8189290414239601	0.4346720364991396	3631.864233286067	2337.02614552414	415.36165618607214	74.80087035330759	34.11471250578047	9271.08884378958	11636.578621015935	66.93645414660867	142.27453093309956	46111.9072184874	2783.1008403361348	191552479.48739496	-2238278898.028954	-10610.635335714283	26820740.95210085
3-month Status Quo (LM)	3-month	Status Quo (LM)	6	1	80.6239288636773	71.98149590532802	55.02208328694336	0.22609708377077556	1.662417257133963	5561.205131248265	1507.5588113048764	652.8776704061993	74.86530877095757	34.10227141314897	9612.343854101906	10607.08751005164	43.22448825375732	228.53987574012524	48933.10449579833	2739.621848739496	191210143.0	-2239397224.7687664	-10962.314378571426	26001808.28327731
3-month Status Quo (LM)	3-month	Status Quo (LM)	7	1	182.37443772660268	94.46843022369566	19.157460519468415	0.9136816568841096	1.5371934357927244	5504.468951205203	1324.3537903412305	633.2933835509559	75.58118205043498	32.75544655398796	7539.979878337213	10672.464627493991	67.26292736775545	81.3440733537893	29922.286336134453	2752.268907563025	195253452.55462185	-2229359457.9944944	-8597.994078571428	41948709.17302521
3-month Status Quo (LM)	3-month	Status Quo (LM)	8	1	73.88816771721775	89.15249378877104	17.312372219896396	0.9269797408262386	1.115628902429317	5547.0994787346435	1506.6634880620375	525.7722657707664	74.62242105474914	34.39346558953719	5640.331511559452	10669.473876213477	65.95293255369403	183.84297846486146	37881.411075630254	2825.2605042016808	193821478.39495802	-2234182533.215095	-9616.372667857142	31206324.968739506
3-month Status Quo (LM)	3-month	Status Quo (LM)	9	1	62.63122899317156	97.74106818588241	40.42134865328666	0.498934359762765	1.483767962615492	5477.8233784703225	1489.7636027904007	495.13185199482285	74.76897784250446	31.88854900518359	9226.839561614865	11636.353882766729	66.93174068297529	147.76364388686557	51151.003075630244	2760.1176470588234	190979825.789916	-2240366872.98428	-10561.39605	23819877.81781512
3-month Status Quo (LM)	3-month	Status Quo (LM)	10	1	56.40029499334813	67.82332126336117	15.923065749725858	0.27410065633726555	1.150632997732894	5478.47376011689	1420.3647222496963	824.1744862155756	75.27448540789938	34.535519247859625	9112.832060538258	11955.481837734946	86.39531022115288	214.82953768044084	80602.78793277309	2858.058823529412	190969975.3193277	-2243910171.4435587	-11307.010839285713	22307674.260252103
3-month Status Quo (LM)	3-month	Status Quo (LM)	11	1	80.84864503596714	224.36087934734059	20.437350440871764	0.8826275147513479	1.4734118721215284	5488.9603455282395	1394.0984219834215	1400.5634051784984	74.80126613311327	34.84508389720012	9538.952152302763	11542.478935092502	84.42415020228479	239.36927775656682	40772.15135294118	2833.344537815126	193427330.17647055	-2235921538.1966577	-10281.642814285711	28693164.038907565
