Experiment	Lead-Time	Skill	ID	Policy	Rule Curve Wet Multiplier	Rule Curve Confident Wet Multiplier	Rule Curve Dry Multiplier	Rule Curve Wet Power	Rule Curve Dry Power	Rule Curve Threshold	Rule Curve Wet Adjustment	Rule Curve Dry Adjustment	Rule Curve Low Level Threshold	Rule Curve Low Level Flow Adjustment	Long Forecast Wet Threshold	Long Forecast Dry Threshold	Long Forecast 50% Confidence Interval	Long Forecast 99% Confidence Interval	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Recreational Boating: Impact Costs ($)
3-month Perfect	3-month	Perfect	10	1	145.79778126718656	70.58006276332102	24.747635637749056	0.3245278977267205	1.4082106947053774	5089.5212481774	2617.4174074806665	1746.6310962801806	106.28356131027503	30.35486656381596	8919.487940543257	7468.023244439893	71.8908972998952	49.341887972477	38047.7530672269	2751.067226890756	191257211.10084036	-2228017087.9689846	-10690.313053571428	35522030.22428572
3-month Perfect	3-month	Perfect	11	1	148.9607374170751	70.51691087606687	28.286450004857787	0.2315206051009932	1.7153505491866985	6924.148471341197	2602.516772585069	2000.2983056724759	75.06462216424197	30.87601178774097	8621.304845237019	5036.056817125417	72.32695896036384	241.69394828973307	65118.02707563027	2816.773109243697	190799600.34453785	-2237822664.891994	-11703.157914285714	18653970.29764706
3-month Perfect	3-month	Perfect	12	1	107.70967901612696	65.30910635265707	74.30192762105959	0.5441460320805102	1.6999318460999762	6523.0279292073255	2312.963777774675	1567.9347029893775	75.05932701914699	34.088136660746464	11720.154998216167	6672.165161475727	25.39672340738803	136.7462858780698	81550.05340336138	2838.386554621849	190265349.10084036	-2239879545.0458064	-11349.685478571431	17751205.48722689
3-month Perfect	3-month	Perfect	13	1	145.23944462023292	65.15545448954292	66.26378441301178	0.6272551609707336	1.6105139744279755	5695.968723794497	2577.409742166089	1181.3761465226355	74.98366662810804	34.387440106756365	8799.422198395961	8401.345720997937	75.86730078641405	175.46659272320076	46193.44580672269	2745.0756302521013	191014970.21848735	-2233955467.5298605	-10254.933217857146	23543567.00815126
3-month Perfect	3-month	Perfect	14	1	138.75875200937114	71.0275894768473	27.11463536654377	1.228269859763856	0.4167500109659432	5049.617069518974	2651.865802017238	797.7941344499027	75.07152824429758	34.78135778279598	8775.15923829316	8738.088636967346	37.361664486389344	144.90021319637518	43342.097621848734	2702.9327731092435	191217297.22689077	-2232900107.823296	-9287.314239285717	24213749.18378151
3-month Perfect	3-month	Perfect	15	1	174.25692695446898	73.05591391166018	38.48661673085736	0.5238331812357531	1.5813464324252906	5129.001414989326	2663.996125779324	546.8542786753353	74.73971433485026	34.253698908657164	8854.981199589489	6405.2514390309	69.46917685491381	118.67802668648764	32550.354294117653	2749.3697478991603	192998117.4789916	-2226346012.844098	-10369.666360714284	36598218.82016806
3-month Perfect	3-month	Perfect	16	1	214.52689404972838	75.09787389986248	26.720928169973835	0.5987729966406905	1.6951453633767786	6546.96521629135	2567.4188044584193	1836.722653982388	74.97639198879291	32.34154995857789	8760.81244371391	7418.62811452984	70.20786661350853	57.01545394071393	54066.082563025215	2773.436974789916	191439534.18487397	-2235854174.5229173	-10771.46567142857	19806664.862436973
3-month Perfect	3-month	Perfect	17	1	168.64289071133038	76.90248324103857	22.505589135512746	0.5423188360623139	1.49981505173487	5399.851069308595	2619.5724631934913	911.3326636887448	74.81725117874917	29.325713224338227	11519.758366997741	6723.321322776552	24.786789817103834	109.05306809372688	32650.79311764706	2708.638655462185	192188187.57983196	-2227505229.8158073	-7850.114632142857	33168591.494789913
3-month Perfect	3-month	Perfect	18	1	148.7781670039559	73.0648673855137	27.16086101049282	0.2509923347565328	1.3011980489946895	6948.917393089148	2651.866681589499	1927.1528665491512	75.07152681984721	34.692657498624136	8786.338071550896	7172.169113189124	34.921785085395236	173.8280264117281	69306.733302521	2822.2941176470586	190750076.6722689	-2238560631.298235	-12173.81129285714	17771462.07235294
3-month Perfect	3-month	Perfect	19	1	148.9607374170751	73.08589311490448	50.20758508633603	0.3871396992015427	1.6862755306207733	5456.236074517856	2571.473948157925	1610.1410331494735	74.7412115868688	34.906098916454056	8593.17593410068	5041.829137115764	72.67813353606937	154.9638138562893	37837.91912605043	2745.151260504201	191952739.39495802	-2229329976.8208747	-10595.409707142857	31560632.83823529
3-month Perfect	3-month	Perfect	20	1	172.34051634378474	70.37273660499923	19.12265314115348	0.3865654081139445	1.7359861941260581	5341.455514670336	1070.1972696509683	1723.1528009565498	74.74223384703869	34.92969598750453	8740.730403227019	7616.772602452675	71.89998797455108	51.750745895215815	29705.783050420167	2779.579831932773	195285639.13445377	-2223194462.3881397	-9979.943989285714	43960480.59890755
3-month Perfect	3-month	Perfect	21	1	149.30952695382769	66.87936764955171	41.982580131037935	0.2315206051009932	0.6988815787269874	6929.03043314229	2572.37141983938	1182.493395541456	75.07385382826769	34.83887412174552	12585.393457904209	6532.728311344467	73.090461166812	171.4938770090077	67859.2361344538	2776.8655462184875	190656365.00840336	-2237609058.224943	-11332.348746428572	17531131.600756302
3-month Perfect	3-month	Perfect	22	1	71.6352912884431	92.91993336326172	67.02759817157471	0.4704924677316227	1.707388131851889	5928.84451707341	1013.0319050853263	1172.1100270081588	75.06777955652622	34.46879380937685	9321.947110090865	9302.84156060637	76.12451253078925	286.74668070275004	54049.86500840337	2681.436974789916	190119382.86554623	-2237306428.545889	-9459.384375	19709551.18966387
3-month Perfect	3-month	Perfect	23	1	145.95787002931462	72.63010194326147	95.67847395800669	0.471763251497167	1.666314585401327	5928.79795736033	1033.7219901623218	1820.707161899024	74.39073553502871	32.513463678380205	4848.339223790743	7944.440257658892	46.51521792551854	50.30541513576442	43129.42699159664	2682.7647058823527	190192773.3109244	-2232801882.1482754	-8697.513860714285	25525228.52151261
3-month Perfect	3-month	Perfect	24	1	106.64398883207596	69.0043575345029	95.15418067697443	0.7594556076114071	0.5187361383715854	4925.540119445504	1892.380466697344	968.1930922971576	73.08898314720622	33.36711420286675	5059.861909551932	7881.5658340036825	43.60295693762451	113.19637708554386	40768.78302521008	2678.81512605042	190303645.8907563	-2231530634.400529	-8924.836610714285	29044980.03613445
3-month Perfect	3-month	Perfect	25	1	176.9857989073699	88.39365562497935	27.26138061420361	1.2601013478660434	0.9657685183320468	5281.362559851477	2680.106304905953	2226.8048502623687	74.79753324198103	29.378477752631568	8853.878543066352	7761.628945162314	35.82219244726974	47.47115575248426	37763.7228907563	2713.0336134453783	191939886.73949575	-2230628147.483023	-8284.479474999998	26665013.544957977
3-month Perfect	3-month	Perfect	26	1	177.01731122211342	66.76742933122588	37.94978468538209	0.523419458194951	1.7310743885364819	5128.987641166122	2617.972781313663	910.4210848158226	74.73633791128552	34.24136368695543	8855.564325761598	6402.885676612678	43.345055841099644	167.2683611719257	32245.72048739496	2763.90756302521	193142182.07563025	-2225951195.0200357	-10567.149314285713	37317600.25159664
3-month Perfect	3-month	Perfect	27	1	84.02343886959389	73.38060461725303	35.096928846524264	0.6622669510419943	1.4499576201452524	5140.112092442522	2301.477768469383	931.2378343994933	72.66660179164415	34.29520581731942	8718.837768925843	7788.652935031569	33.146389746591986	146.51156523860766	42218.964680672274	2682.109243697479	190280417.13445377	-2232047986.458502	-9404.801199999998	28635602.73201681
3-month Perfect	3-month	Perfect	28	1	176.77426990894384	68.17072996720128	66.88578391389892	0.9203939397190102	0.4159944587540104	5380.454538406038	2639.62855553814	1329.1298494203802	74.79753740996104	29.003134867695163	11618.127632008198	7754.445413702082	58.0759712460007	165.01916232789395	35350.717672268904	2710.0672268907565	191948307.52941176	-2229413786.098714	-7626.133796428572	28765619.07882353
3-month Perfect	3-month	Perfect	29	1	347.6895457242225	186.30192232821813	73.57106360962213	0.8254521931287557	1.1212139685844575	4904.163864920976	2662.1952371885845	1514.8665967563209	89.9906330677874	24.80869339427589	4366.46564998674	7166.709918365532	37.36453220566271	100.84002495412386	29928.317546218488	2729.8991596638652	192783878.00840336	-2225024340.989388	-7929.744224999998	38684333.46655462
3-month Perfect	3-month	Perfect	30	1	107.57601955999763	83.28339965844832	27.276911816342267	0.5648562800631121	1.5617033669066909	5697.003266601273	2559.714664193102	1976.0666665391875	74.7348633373833	33.459860046491194	8596.307578364751	6675.1969619711435	72.36712564233446	232.16773672264517	48299.94493277311	2695.831932773109	190227173.02521008	-2235061553.8685346	-10158.582403571429	22258043.301764708
3-month Perfect	3-month	Perfect	31	1	81.43108133540599	110.17953645631935	29.03528435146052	1.1875262109641342	1.5099751900865073	6249.465329416778	954.9881612412262	2035.2829524750366	74.61824955076251	32.237067364506395	10746.147126506694	6769.90184147294	85.67869376485692	139.00571421080747	43469.92673949581	2717.4117647058824	191653018.95798317	-2232617698.7492447	-7519.974267857144	22008135.70983194
3-month Perfect	3-month	Perfect	32	1	119.99227227671936	67.19086083566839	41.50757612232728	0.28583422766352273	1.0212621820663033	6529.753522300379	2568.9020870960753	2240.840222839497	74.78733616875947	34.92022889959982	7969.307539868605	7739.690359866375	72.20919421897564	162.7208941902975	61537.74608403362	2752.050420168068	190289420.88235292	-2237520969.4378853	-10606.024985714286	19703774.436386555
3-month Perfect	3-month	Perfect	33	1	125.0085276745319	75.09787389986248	26.71478418483509	0.594028807485404	1.6951453633767786	6546.96521629135	2570.144881106511	1836.709107935787	74.97639198879291	32.13571649505369	8761.129575561397	7418.62811452984	70.20786661350853	57.01545394071393	70681.23311764705	2787.5882352941176	190312788.2773109	-2239535219.9747233	-10123.110889285717	17783623.523613445
3-month Perfect	3-month	Perfect	34	1	148.0933556766902	119.47451866626848	26.34723655380788	0.5945142386105434	1.7408548695888502	6570.796988071899	2568.7998439957546	1821.2393472493015	74.97714696456778	34.141963291095955	12385.997802333955	11538.396823597048	25.08852669914417	162.66908789279518	62543.802310924366	2750.974789915967	190378875.20168063	-2238568661.0119247	-9498.035396428571	17547802.018907562
3-month Perfect	3-month	Perfect	35	1	118.4215487800962	71.14351462242472	22.98913244973032	0.3477292886455379	1.3049259583735058	6587.890196509028	2649.10495506198	888.7973041360078	75.38749299346513	33.79978147507361	8720.675441712321	7042.018054710104	33.34956049149695	116.67562847653595	81355.21225210089	2845.714285714286	190321645.5882353	-2239885484.028102	-12089.32859285714	18630324.552857146
3-month Perfect	3-month	Perfect	36	1	105.16311786146588	65.54838779809569	97.70893367216296	0.34325589913719545	1.4747913878189531	6447.033266331782	2654.368593637253	1930.210764142708	75.07665038561366	32.2569469437959	8812.333261005908	7884.412375353898	27.706180656966875	50.73533102060972	76184.19712605044	2843.0	190324839.92436972	-2239544598.406867	-11318.233357142857	18658495.355462186
3-month Perfect	3-month	Perfect	37	1	154.40841674707337	117.01677428080478	102.6538787521147	0.529241700242585	1.7169944158486108	6516.049663622684	2308.4533461037217	1836.4698684931009	75.04408488038806	34.71528349675818	11776.307605273789	5569.651158648221	25.39672340738803	158.48408477338717	56911.640773109255	2705.840336134454	190616340.7731093	-2237469460.778396	-8591.402032142858	17791240.844537813
3-month Perfect	3-month	Perfect	38	1	168.56093502537328	73.35238086035756	38.55111071296844	0.6676919741810513	1.1434931155511965	5149.475941172063	2289.892285374488	1572.7476568190107	20.795212212450615	31.614290684874163	8634.115149758936	7885.024477187851	72.65009776239995	174.91504655279135	29905.952521008403	2756.689075630253	193862582.62184876	-2223947400.9808345	-9223.12572142857	41771705.57344538
3-month Perfect	3-month	Perfect	39	1	169.08278407262884	69.72039207575136	34.76067047148736	0.5977324647788909	1.6922246604922386	6640.416402200846	2673.0838862718897	1740.828665441005	80.7594873245903	29.80630770108993	8759.5263791613	8385.731745575531	82.00316932490911	52.16308012571088	86830.32733613445	2882.697478991597	190491187.26050425	-2239307462.130191	-12522.422300000006	19243123.686554626
3-month Perfect	3-month	Perfect	40	1	105.47763064880856	106.18317968949057	21.60860782497276	0.8290398789348384	0.5313466613213689	5330.119543034633	1996.2070629189286	1546.14824503901	25.205607537317643	21.058835928037666	6041.860794760218	7576.949253549852	72.15271269204614	99.91861405926436	35303.90633613446	2699.8655462184875	191297258.74789917	-2228859073.937564	-7920.825178571428	31595514.14403361
3-month Perfect	3-month	Perfect	41	1	156.0771144650571	73.54128358202726	92.00401050667372	0.6118265374476564	1.0730235172119322	5151.731441183426	2626.375396173601	1092.4151827455007	74.73257998867949	30.837442642585067	8532.54135372991	7010.627317563083	71.36673609604597	164.99917025678997	35254.13781512605	2730.798319327731	192178273.57142857	-2228253384.6962585	-10132.68262142857	33051893.9797479
3-month Perfect	3-month	Perfect	42	1	176.2103514955826	124.19195214500463	28.51897483644109	0.8424821086227057	1.0700842524548946	5730.2423261433005	2668.382530610321	427.3152720434409	74.72709762555678	34.455490257433986	8732.648473797799	7874.9943999004245	43.712966114965674	165.14538491431074	40631.787075630265	2707.731092436975	191543326.99159664	-2231747221.5950007	-8152.186439285714	24589994.10193277
3-month Perfect	3-month	Perfect	43	1	143.97371327397983	86.41438387551622	26.949179980507175	0.2827637270012972	0.2667551694920802	3959.5565204174845	2238.503947726421	2264.5	74.82256233908005	33.74451455240946	11605.61269207364	4776.033161442245	38.15223100497296	180.44644469086063	29737.94569747899	2721.495798319328	193211816.2941177	-2224210648.27646	-8572.715110714287	41392869.77394958
3-month Perfect	3-month	Perfect	44	1	144.58895227451015	68.26517401655111	30.847244683728352	0.2861590065562524	0.8242423411322923	4610.535839056296	2329.873265998537	2184.3779159191863	74.65452868042448	34.418254576491286	8770.229842564344	7707.801005940691	57.178600835326776	217.48307940779912	32504.070151260497	2757.378151260504	193828486.74789917	-2225028516.5074368	-10618.581603571429	40072858.54537814
3-month Perfect	3-month	Perfect	45	1	355.79674029322075	72.4697920071514	22.117022498992405	1.1968939816277508	0.8776111312738943	5092.961863367191	1839.6521930024792	941.0775320867656	20.8743114880923	34.0016373106225	4900.011317116499	4955.4043465270315	46.58615151420933	147.18791586225512	38001.648394957985	2691.5882352941176	191003513.01680672	-2230476325.999199	-7917.352542857144	28555150.70663866
3-month Perfect	3-month	Perfect	46	1	144.42222384289317	65.00574401418075	96.32259705604862	0.6179294482320348	1.112202745884658	5129.8278573409025	2619.3432945288314	1108.1738243544517	75.34503251921281	30.406241991533733	8680.172645818706	6996.07816545946	69.35201617775954	61.53984771247917	40790.93937815126	2746.0588235294117	191221267.210084	-2230529089.5722013	-10653.30015	30791439.05420168
3-month Perfect	3-month	Perfect	47	1	104.52997645974732	69.55259466204436	98.82761725685778	0.4661542101419652	1.5565704228689647	5621.1793624662705	2517.57294129948	1382.7535943736152	74.97731147711741	34.837015715207	8833.308325527303	6803.597411898667	72.09899429424786	163.81691679578586	54068.913806722696	2733.403361344537	190225705.46218488	-2236134884.477013	-10602.50917857143	21877213.7502521
3-month Perfect	3-month	Perfect	48	1	100.46002072765684	69.36933032091575	27.276911816342267	0.22991029140026115	0.8055660077566207	5697.003266601273	2316.007391530183	1976.0666665391875	74.96377351161688	30.80729062091148	8879.439392059923	6869.5685886291085	72.36712564233446	235.82250966036148	48892.196789915964	2714.638655462185	190318080.05882356	-2234459744.8775744	-10651.543214285712	24571803.64596638
3-month Perfect	3-month	Perfect	49	1	175.8257538040016	73.76066656077334	41.366465521021325	0.8338159031531172	1.4696157923747006	4968.235224815761	2661.693707876377	931.2484123443179	74.73600574400325	34.81861045951654	8854.981199589489	6618.4822068796375	59.097867021871956	110.39387659085642	32615.750823529415	2742.0420168067226	192849056.07563025	-2226859300.2227006	-9719.961707142857	34722125.98042017
3-month Perfect	3-month	Perfect	50	1	176.4702405355624	73.43470541637764	42.079310068436364	0.93068653396315	1.6761703634578469	5123.458587763737	2675.454540820044	859.8228197628599	75.93650528953783	17.113468671947967	9202.517643650895	7727.361158525635	71.22182988967134	87.75669798070356	32603.609033613448	2729.596638655463	192110967.09243697	-2226840451.9223013	-8668.329839285714	34888454.326806724
3-month Perfect	3-month	Perfect	51	1	139.14355632210004	72.23523719285576	66.61655467750985	0.5806161884808609	1.708474080759866	5928.79795736033	1013.9345996985364	1131.0955839167916	74.96129414744212	34.19951135325867	4018.979798248872	7070.589481243357	70.76306512557575	109.05306809372688	51543.9182605042	2698.2352941176473	190160877.2857143	-2236680986.153877	-8914.953871428572	19923589.582521006
3-month Perfect	3-month	Perfect	52	1	145.27279491026223	77.11435159575463	70.44825217255581	0.5862530866188151	1.6907368201564072	6621.009403307479	2568.7998439957546	1810.800654604749	74.97639198879291	34.141963291095955	12527.269296969074	11538.396823597048	25.08852669914417	158.44374256145016	65127.38398319327	2746.6806722689075	190252865.74789917	-2238953810.1235614	-9343.252528571427	17076150.32840336
3-month Perfect	3-month	Perfect	53	1	100.41699453096277	69.36064235816478	101.69122785119902	0.8044323262024593	1.4744562044935534	6447.664246309085	1063.5121249193608	1969.0135491189794	74.74329933826921	32.237282955422	8829.394644415108	7867.66904776408	27.214783097003256	100.37807894081995	48969.311915966384	2705.890756302521	191073168.4789916	-2235006915.7506533	-7929.703521428573	19447563.765546214
3-month Perfect	3-month	Perfect	54	1	118.32662955267557	88.47264387074422	41.007304568162304	0.3975793156104487	1.2133526984749718	6152.750048857824	2628.9870444160347	2264.5	75.07665038561366	32.298815267394104	8825.717808382695	9924.458776111762	27.671158238002032	171.1911164860713	56641.77461344538	2720.1176470588234	190246062.47058824	-2237443205.4181914	-10037.076189285714	19935988.663193267
3-month Perfect	3-month	Perfect	55	1	144.58895227451015	68.26517401655111	84.62787004179039	0.4335546544821719	0.8300045357376677	5008.291163229857	2329.873265998537	2217.2603781823013	119.35205172068399	34.418254576491286	8222.613841366094	7707.801005940691	57.178600835326776	227.25206271565526	40652.65616806722	2755.731092436975	191271843.11764705	-2228961756.3842325	-11231.234107142856	34451696.42966387
3-month Perfect	3-month	Perfect	56	1	148.9607374170751	73.08589311490448	49.01941361351818	0.2315206051009932	0.7798525169561273	6974.033205245383	2664.04126766683	2175.4957783780746	75.07346899235644	32.26120290369566	12585.393457904209	4948.256660989307	72.67813353606937	173.8280264117281	65982.41163025211	2762.613445378151	190693241.1260504	-2237837654.9093947	-10680.131875000003	17328526.42436975
