Experiment	Lead-Time	Skill	ID	Policy	Rule Curve Wet Multiplier	Rule Curve Confident Wet Multiplier	Rule Curve Dry Multiplier	Rule Curve Wet Power	Rule Curve Dry Power	Rule Curve Threshold	Rule Curve Wet Adjustment	Rule Curve Dry Adjustment	Rule Curve Low Level Threshold	Rule Curve Low Level Flow Adjustment	Long Forecast Wet Threshold	Long Forecast Dry Threshold	Long Forecast 50% Confidence Interval	Long Forecast 99% Confidence Interval	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Recreational Boating: Impact Costs ($)
12-month Status Quo (LM)	12-month	Status Quo (LM)	0	1	238.39660686899788	74.02517202319459	49.74684627021628	0.92704720437838	0.3648949562909941	5206.8116010630765	2678.1638527283026	828.6265547876378	81.5507364735368	32.91041589543206	7240.609666707068	7007.248072197388	20.566550854917047	132.0382737474938	62402.20857142857	2825.512605042017	192876243.44537812	-2233905060.0649433	-13182.860157142857	41341344.72613444
12-month Status Quo (LM)	12-month	Status Quo (LM)	1	1	145.96145966714911	166.66121205245986	83.29799257012037	0.6561749586878123	0.43093046829861104	6245.208466578232	1683.8470940465563	361.46537370958464	19.960740361492146	29.078054291894425	8276.032058120138	2902.6055853001226	24.203428722456643	52.21429448114532	35229.45701680672	2717.0588235294117	193237970.93277308	-2233656522.9412193	-9051.498885714283	30995170.86428571
12-month Status Quo (LM)	12-month	Status Quo (LM)	2	1	271.8481514956453	79.35664267540855	30.694374033511103	1.5750000000000002	0.3116158839762277	5858.928216951468	817.7653973825377	843.7695447657396	112.90513993287395	34.79712696649601	6771.5232682168125	2045.5785609381214	19.14791776595991	111.21165829722214	29872.475033613453	2743.2352941176473	196110971.7142857	-2229689776.379054	-9305.377085714286	41526732.94033613
12-month Status Quo (LM)	12-month	Status Quo (LM)	3	1	275.5270891319212	70.82746981902258	92.09192053573126	1.1568673892167043	1.7497038978269783	5867.083206590652	1244.5831852463455	1103.4537478135887	116.83357849346308	34.81566799299285	6770.9676495573985	7762.102737646392	44.32909244237132	111.03993953846495	49310.47948739495	2737.445378151261	191741731.50420168	-2238304580.5672193	-12562.650264285712	30452139.944453776
12-month Status Quo (LM)	12-month	Status Quo (LM)	4	1	234.6424370001426	73.56173628765448	15.018079401880293	0.9656341650182858	0.6656873410141662	5797.449267630495	2671.514615790676	1066.1945679605913	85.85676280964604	34.795608788910926	7270.308352847245	2474.694412717546	20.305911566815805	99.70427229267469	75911.64397478991	2793.310924369748	191206679.82352945	-2239375566.055942	-13257.347257142856	28701403.65369748
12-month Status Quo (LM)	12-month	Status Quo (LM)	5	1	366.29082772537276	79.92819640142461	88.33980181829156	1.49557978647151	0.2547917285766801	5943.934816914873	1234.7810143452189	857.4903100936044	124.46605197593784	34.61589770553244	6706.548421536983	2753.536036931033	65.03581616395996	113.4420540340618	45663.37094117649	2755.1176470588234	192728117.04201683	-2237874881.285838	-11979.170035714285	27943056.59495798
12-month Status Quo (LM)	12-month	Status Quo (LM)	6	1	321.79288276232586	77.23644554117031	103.14844498771888	0.7993831667205878	0.31034780831337944	6276.544561330938	1026.6453580070238	1142.6116840345385	124.46605197593784	25.125699059634808	6704.367572175222	2753.536036931033	58.78318807026066	97.84432612369673	50613.81428571429	2730.9663865546217	191195333.57983196	-2239471779.689412	-11897.920625	26414074.08882353
12-month Status Quo (LM)	12-month	Status Quo (LM)	7	1	365.58614088113166	65.24760207310379	104.68952491077887	0.7624692033757692	0.9608021206051468	5860.243600541461	2672.424941355127	855.0467373659123	129.1167854974778	34.58740497962842	7281.256300183089	11258.708585840537	28.7536099096108	139.8293915240049	70697.6245210084	2844.512605042017	194144332.66386557	-2232926354.3162875	-15366.785232142856	43607089.8294958
12-month Status Quo (LM)	12-month	Status Quo (LM)	8	1	181.4287019176463	65.25102176019152	83.09247349138882	1.5650686957003477	0.33650808726421616	3995.8146994512654	2696.75	356.3265419727996	113.07693757832493	35.0	7266.971077247892	9767.767554663562	20.566550854917047	140.26773332224306	38066.831294117634	2761.731092436975	194096031.4789916	-2231395633.2100577	-11463.629839285713	43640410.106638655
12-month Status Quo (LM)	12-month	Status Quo (LM)	9	1	64.72052403807442	194.846477621202	15.636228145956585	1.5273406413391166	0.4222886336080657	4284.657683815593	2675.1426623294515	783.7567924500281	74.72817246529216	34.55245706508556	7277.4416600733375	9546.998525097746	31.20844110634323	211.71778907979217	43344.04948739496	2730.428571428572	194040401.03361344	-2237942694.170532	-10587.987500000003	23483169.4594958
